y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
15,,,,,,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,track z=8,track z=8,track z=8,track z=8,bounce z=8,bounce z=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,tunnel_3_ext z=4,track z=4,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,,
22,,,,,,,,,,track z=6,track z=6,track z=6,funnel z=6,funnel z=6,funnel z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,tunnel_1_ext z=4,track z=4,track z=4,track z=4,track z=4,track z=4,funnel z=4,funnel z=4,funnel z=4,track z=4,,,,,,,,,,,,,
23,,,,,,,,,,track z=6,track z=6,track z=6,funnel z=6,tunnel_1_ent z=4,funnel z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,funnel z=4,tunnel_5_ent z=2,funnel z=4,track z=4,,,,,,,,,,,,,
24,,,,,,,,,,track z=6,track z=6,track z=6,funnel z=6,funnel z=6,funnel z=6,funnel z=6,funnel z=6,track z=6,track z=6,,,,,,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,funnel z=4,funnel z=4,funnel z=4,track z=4,,,,,,,,,,,,,
25,,,,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,funnel z=6,tunnel_2_ent z=4,funnel z=6,track z=6,track z=6,,,,,,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,,
26,,,,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,funnel z=6,funnel z=6,funnel z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,,
27,,,,track z=6,track z=6,track z=6 [START],track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,funnel z=6,funnel z=6,funnel z=6,funnel z=6,funnel z=6,funnel z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,track z=6,track z=6,track z=6,track z=6,funnel z=6,tunnel_void z=4,funnel z=6,funnel z=6,tunnel_3_ent z=4,funnel z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,track z=6,track z=6,track z=6,track z=6,funnel z=6,funnel z=6,funnel z=6,funnel z=6,funnel z=6,funnel z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,track z=6,bounce z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,track z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,track z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,,,,
39,,,,,,,,,,track z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,,,,
40,,,,,,,,,,track z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,,,,
41,,,,,,,,,,track z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=2,track z=2,tunnel_4_ext z=2,track z=2 [GOAL],track z=2,track z=2,track z=2,,,,
42,,,,,,,,,,track z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,,,,
43,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,,,,
44,,,,,,,,,,track z=4,track z=4,track z=4,bounce z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,,,,
45,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,tunnel_2_ext z=4,track z=4,track z=4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEVEL INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,tunnel_network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Tunnel Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid Size,60x55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start,"(5, 27)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goal,"(52.5, 41.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Limit,50s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTORS / PLATFORMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Kind,"Position (x,y,z)",Movement Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tunnel_a,tunnel,"(15.5, 25.5, z=4)","entry: (15.5, 25.5, z=4) -> exit: (35, 22, z=4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tunnel_b,tunnel,"(13.5, 23.5, z=4)","entry: (13.5, 23.5, z=4) -> exit: (8, 8, z=6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tunnel_c,tunnel,"(15.5, 31.5, z=4)","entry: (15.5, 31.5, z=4) -> exit: (12, 45, z=4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tunnel_d,tunnel,"(44.5, 23.5, z=2)","entry: (44.5, 23.5, z=2) -> exit: (52, 40, z=2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
