y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
17,,,,,,,,,,,,,,,,,track z=8,track z=8,track z=8,track z=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,track z=8,track z=8,track z=8,track z=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,track z=8,track z=8,track z=8,track z=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,track z=8,track z=8,track z=8,track z=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,track z=8,track z=8,track z=8,track z=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,track z=8,track z=8,track z=8,funnel z=8,funnel z=8,funnel z=8,track z=8,track z=8,track z=8,track z=8,,,,,,,,,,,,,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,
23,,,,,,,,,,track z=8,track z=8,track z=8,funnel z=8,track z=6,funnel z=8,track z=8,track z=8,track z=8,track z=8,,,,,,,,,,,,,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,
24,,,,,,,,,,track z=8,track z=8,track z=8,funnel z=8,funnel z=8,funnel z=8,funnel z=8,funnel z=8,track z=8,track z=8,,,,,,,,,,,,,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,funnel z=4,funnel z=4,funnel z=4,track z=4,,,,,,,,,,,,
25,,,,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,funnel z=8,track z=5,funnel z=8,track z=8,track z=8,,,,,,,,,,,,,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,funnel z=4,track z=2,funnel z=4,track z=4,,,,,,,,,,,,
26,,,,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,funnel z=8,funnel z=8,funnel z=8,track z=8,track z=8,,,,,,,,,,,,,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,funnel z=4,funnel z=4,funnel z=4,track z=4,,,,,,,,,,,,
27,,,,track z=8,track z=8,track z=8 [START],track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,,,,,,,,,,,,,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,
28,,,,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,funnel z=8,funnel z=8,funnel z=8,track z=8,track z=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,track z=8,track z=8,track z=8,track z=8,track z=8,funnel z=8,track z=6,funnel z=8,track z=8,track z=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,track z=8,track z=8,track z=8,track z=8,track z=8,funnel z=8,funnel z=8,funnel z=8,track z=8,track z=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,,,,,,,,,,,,,,,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,,,,,,,,,,,,,,,track z=2,track z=2,track z=2,track z=2 [GOAL],track z=2,track z=2,track z=2,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,,,,,track z=4,track z=4,track z=4,track z=4,track z=4,RAMP_S z=4,RAMP_S z=4,RAMP_S z=4,track z=2,track z=2,track z=2,track z=2,track z=2,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,RAMP_E z=5,RAMP_E z=4.8,RAMP_E z=4.5,RAMP_E z=4.3,track z=4,track z=4,track z=4,track z=4,track z=4,RAMP_S z=3.3,RAMP_S z=3.3,RAMP_S z=3.3,track z=2,track z=2,track z=2,track z=2,track z=2,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,RAMP_E z=5,RAMP_E z=4.8,RAMP_E z=4.5,RAMP_E z=4.3,track z=4,track z=4,track z=4,track z=4,track z=4,RAMP_S z=2.7,RAMP_S z=2.7,RAMP_S z=2.7,track z=2,track z=2,track z=2,track z=2,track z=2,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,RAMP_E z=5,RAMP_E z=4.8,RAMP_E z=4.5,RAMP_E z=4.3,track z=4,track z=4,track z=4,track z=4,track z=2,track z=2,track z=2,track z=2,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=2,track z=2,track z=2,track z=2,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,track z=2,track z=2,track z=2,track z=2,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


LEVEL INFO
ID,tunnel_express
Name,Tunnel Express
Grid Size,60x55
Start,"(5, 27)"
Goal,"(52.5, 41.5)"
Time Limit,30s

ACTORS / PLATFORMS
ID,Kind,"Position (x,y,z)",Movement Info
tunnel_a,tunnel,"(15.5, 25.5, z=5)","entry: (15.5, 25.5, z=5) -> exit: (42, 24, z=4)"
tunnel_b,tunnel,"(13.5, 23.5, z=6)","entry: (13.5, 23.5, z=6) -> exit: (22, 10, z=8)"
tunnel_c,tunnel,"(15.5, 31.5, z=6)","entry: (15.5, 31.5, z=6) -> exit: (30, 42, z=5)"
tunnel_d,tunnel,"(45.5, 25.5, z=2)","entry: (45.5, 25.5, z=2) -> exit: (52, 40, z=2)"
